name
Andrei Arlovski
Stipe Miocic
Ilir Latifi
Walt Harris
Derrick Lewis
Marcos Rogerio de Lima
Aleksei Oliynyk
Jake Collier
Shamil Abdurakhimov
Francis Ngannou
Jarjis Danho
Curtis Blaydes
Marcin Tybura
Chase Sherman
Alexander Volkov
Tai Tuivasa
Blagoy Ivanov
Augusto Sakai
Sergei Pavlovich
Juan Espino
Jairzinho Rozenstruik
Sergey Spivak
Ciryl Gane
Justin Tafa
Tanner Boser
Don'Tale Mayes
Rodrigo Nascimento
Tom Aspinall
Chris Daukaus
Parker Porter
Alexander Romanov
William Knight
Josh Parisian
Jared Vanderaa
Chris Barnett
Jailton Almeida
Martin Buday
Hamdy Abdelwahab
Zac Pauga
Mohammed Usman
Lukasz Brzeski
Mauricio Rua
Jon Jones
Alexander Gustafsson
Ovince Saint Preux
Dustin Jacoby
Glover Teixeira
Nikita Krylov
Jan B?achowicz
Anthony Smith
Ion Cutelaba
Khalil Rountree Jr.
Devin Clark
Tyson Pedro
Paul Craig
Volkan Oezdemir
Dominick Reyes
Aleksandar Rakic
Marcin Prachnio
Magomed Ankalaev
Ryan Spann
Johnny Walker
Jimmy Crute
Alonzo Menifield
Nicolae Negumereanu
Kennedy Nzechukwu
Da Un Jung
Aleksa Camur
Jamahal Hill
Philipe Lins
Jiri Prochazka
Maxim Grishin
Tafon Nchukwi
Carlos Ulberg
Azamat Murzakanov
Ihor Potieria
Anton Turkalj
Brad Tavares
Chris Weidman
Derek Brunson
Robert Whittaker
Kelvin Gastelum
Zak Cummings
Krzysztof Jotko
Sean Strickland
Jared Cannonier
Darren Till
Misha Cirkunov
Marvin Vettori
Jack Hermansson
Jack Marshman
Abdul Razak Alhassan
Gerald Meerschaert
Paulo Costa
Eryk Anders
Julian Marquez
Michal Oleksiejczuk
Israel Adesanya
Abu Azaitar
Ian Heinisch
Edmen Shahbazyan
Anthony Hernandez
Marc-Andre Barriault
Deron Winn
Dalcha Lungiambula
Wellington Turman
Rodolfo Vieira
Jun Yong Park
Makhmud Muradov
Brendan Allen
Roman Kopylov
Andre Muniz
Punahele Soriano
Kyle Daukaus
Roman Dolidze
Joaquin Buckley
Jordan Wright
Nassourdine Imavov
Dusko Todorovic
Dricus du Plessis
Jacob Malkoun
Phil Hawes
Dustin Stoltzfus
Jamie Pickett
Gregory Rodrigues
Bruno Silva
Andre Petroski
Gilbert Urbina
Nick Maximov
Cody Brundage
Albert Duraev
Chris Curtis
Alex Pereira
Joseph Holmes
Chidi Njokuani
Tresean Gore
A.J. Dobson
Armen Petrosyan
Aliaskhab Khizriev
Denis Tiuliulin
Josh Fremd
Caio Borralho
Gadzhi Omargadzhiev
Abusupiyan Magomedov
Joseph Pyfer
Matt Brown
Jim Miller
Tony Ferguson
Robbie Lawler
Court McGee
Jorge Masvidal
Stephen Thompson
Tim Means
Michael Chiesa
Francisco Trinaldo
Gunnar Nelson
Neil Magny
Santiago Ponzinibbio
Li Jingliang
Warlley Alves
Jake Matthews
Gilbert Burns
Colby Covington
Leon Edwards
Bryan Barberena
Elizeu Zaleski dos Santos
Nicolas Dalby
Kamaru Usman
Vicente Luque
Lyman Good
Danny Roberts
Alex Morono
Randy Brown
Mike Jackson
Belal Muhammad
Max Griffin
Niko Price
Trevin Giles
Song Kenan
Muslim Salikhov
Geoff Neal
Kevin Holland
Takashi Sato
Michel Pereira
Sergey Khandozhko
Miguel Baeza
Sean Brady
Abubakar Nurmagomedov
Khaos Williams
Daniel Rodriguez
Gabriel Green
Jason Witt
Khamzat Chimaev
Mounir Lazzez
Matthew Semelsberger
Shavkat Rakhmonov
Ramiz Brahimaj
Louis Cosce
Philip Rowe
Carlston Harris
Jeremiah Wells
Preston Parsons
Orion Cosce
Bryan Battle
Martin Sano Jr.
Ian Garry
Darian Weeks
Jack Della Maddalena
Pete Rodriguez
Michael Morales
Andre Fialho
Mike Mathetha
AJ Fletcher
Mike Malott
Ange Loosa
Evan Elder
Yohan Lainesse
Rinat Fakhretdinov
Adam Fugitt
Josh Quinlan
Clay Guida
Joe Lauzon
Rafael dos Anjos
Charles Oliveira
Dustin Poirier
Michael Johnson
John Makdessi
Bobby Green
Drew Dober
Vinc Pichel
Conor McGregor
Jesse Ronson
Beneil Dariush
Carlos Diego Ferreira
Gabriel Benitez
Renato Moicano
Islam Makhachev
Magomed Mustafaev
Scott Holtzman
Joaquim Silva
Chris Gruetzemacher
David Teymur
Damir Hadzovic
Ricky Glenn
Gregor Gillespie
Marc Diakiese
Claudio Puelles
Drakkar Klose
Jared Gordon
Justin Gaethje
Nasrat Haqparast
Matt Frevola
Alexander Hernandez
Christos Giagos
Thiago Moises
Jalin Turner
Damir Ismagulov
Kyle Nelson
Joel Alvarez
Grant Dawson
Rafael Fiziev
Arman Tsarukyan
Mike Davis
Fares Ziam
Mark Madsen
Brad Riddell
Jamie Mullarkey
Ottman Azaitar
Joe Solecki
Omar Morales
Steve Garcia
Jai Herbert
Alexander Munoz
Ludovit Klein
